word,status,score,error,No
wriggle,2,10,3,250
sin,2,10,0,251
pride,2,10,0,252
greed,2,10,0,253
lust,1,0,4,254
envy,2,10,0,255
sloth,2,10,1,256
gluttony,2,10,2,257
gluttonous,2,10,0,258
glutinous,2,10,2,259
assiduous,1,2,1,260
diligent,1,8,2,261
insidious,1,0,2,262
subside,1,4,0,263
preside,2,10,0,264
dissident,2,10,0,265
sedentary,1,-4,2,266
sedulous,1,6,1,267
supersede,1,2,1,268
slothful,1,8,0,269
assimilate,1,4,0,270
simultaneous,1,-4,2,271
dissimulate,1,6,1,272
dissemble,1,-2,1,273
interpreter,1,0,0,274
attenuate,1,0,0,275
enhance,1,0,0,276
tenuous,1,0,0,277
extenuate,1,0,0,278
augment,0,0,0,279
argument,0,0,0,280
august,0,0,0,281
audacious,0,0,0,282
loquacious,0,0,0,283
accretion,0,0,0,284
mount,0,0,0,285
paramount,0,0,0,286
surmount,0,0,0,287
austere,0,0,0,288
authentic,0,0,0,289
author,0,0,0,290
veracious,0,0,0,291
bogus,0,0,0,292
phony,0,0,0,293
avaricious,0,0,0,294
avid,0,0,0,295
avarice,0,0,0,296
voracious,0,0,0,297
covet,0,0,0,298
covert,0,0,0,299
herbivore,0,0,0,300
carnivore,0,0,0,301
avert,0,0,0,302
advert,0,0,0,303
revert,0,0,0,304
divert,0,0,0,305
pervert,0,0,0,306
controvert,0,0,0,307
subvert,0,0,0,308
adverse,0,0,0,309
reverse,0,0,0,310
diverse,0,0,0,311
perverse,0,0,0,312
controversy,0,0,0,313
subversive,0,0,0,314
extrovert,0,0,0,315
introvert,0,0,0,316
vertex,0,0,0,317
vortex,0,0,0,318
versatile,0,0,0,319
vertigo,0,0,0,320
adversary,0,0,0,321
adversity,0,0,0,322
aviary,0,0,0,323
aviation,0,0,0,324
aviator,0,0,0,325
auspicious,0,0,0,326
augury,0,0,0,327
avow,0,0,0,328
vocal,0,0,0,329
equivocal,0,0,0,330
vociferous,0,0,0,331
provoke,0,0,0,332
revoke,0,0,0,333
convoke,0,0,0,334
invoke,0,0,0,335
evoke,0,0,0,336
